ticker,sector,market_cap,bucket,effective_bucket,distress_type,verdict,status,api_distress,api_fraud,api_high_short,api_recent_raise,short_dtc,effective_reason,note,logic_version,last_processed_utc
NVDA,Information Technology,4967727366144.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.94,,,v1-2026-06-09,2026-06-09T16:04:56Z
AAPL,Information Technology,4514011676672.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,2.74,,,v1-2026-06-09,2026-06-09T16:04:40Z
GOOGL,Communication Services,4494199357440.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,3.2,,,v1-2026-06-09,2026-06-09T16:04:40Z
GOOG,Communication Services,4460419481600.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,2.49,,,v1-2026-06-09,2026-06-09T16:04:40Z
MSFT,Information Technology,3095206035456.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,2.34,,,v1-2026-06-09,2026-06-09T16:04:40Z
AMZN,Consumer Discretionary,2646571745280.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,2.62,,,v1-2026-06-09,2026-06-09T16:04:40Z
AVGO,Information Technology,1826303639552.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,2.88,,,v1-2026-06-09,2026-06-09T16:04:40Z
META,Communication Services,1505284980736.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,2.14,,,v1-2026-06-09,2026-06-09T16:04:40Z
TSLA,Consumer Discretionary,1468487958528.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.28,,,v1-2026-06-09,2026-06-09T16:04:56Z
BRK.A,Financials,1054773739520.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.0,,,v1-2026-06-09,2026-06-09T16:04:40Z
BRK.B,Financials,1052825026560.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,2.14,,,v1-2026-06-09,2026-06-09T16:04:40Z
LLY,Health Care,1008934060032.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,2.53,,,v1-2026-06-09,2026-06-09T16:04:40Z
