ticker,sector,market_cap,bucket,bankruptcy,distress_type,fraud,fraud_watchlist,recoverable,news_bk_event,news_fraud_event,bankruptcy_severity,fraud_severity,recovery_score,earnings_quality_flag,altman_z2,altman_zone,altman_z_orig,beneish_m,ohlson_p,accrual_ratio,montier_c,nd_ebitda,current_ratio,neg_equity,fcf_neg,cfo_neg,cash_runway_months,reasons,fraud_reasons,fin_sector_caveat,float_distortion,headline
A,Health Care,38252580864.0,CLEAR,0,,0,0,0,0,0,0,0,7,0,3.4773456179449753,safe,5.128280151049349,-2.4636547052457916,0.03673947017153825,-0.020835876775322507,2,0.8856819468024901,1.9573924158500213,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
AA,Materials,18971041792.0,CLEAR,0,,0,0,0,0,0,0,0,5,0,1.338974278310912,grey,2.0755688797688467,-2.3869558111644706,0.07405851510575688,-0.00437187427549432,2,0.45513513513513515,1.4388318863456986,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
AAL,Industrials,8928699392.0,DISTRESSED-RECOVERABLE,0,,0,0,1,0,0,48,0,5,0,-1.6382795479852323,distress,0.6390276556851885,-2.696498128348498,0.41010824063657936,-0.04836634104097704,2,6.263979193758128,0.4683161848766944,1,1,0,,,,0,0,Distressed but recoverable — solvent with a turnaround vector
AAME,Financials,34063368.0,DISTRESSED-RECOVERABLE,0,,0,0,1,0,0,28,0,4,0,0.9963577471393446,distress,0.8344093090345538,-2.447491452076017,0.82983777259932,-0.02341056392661351,1,0.06980374665477253,1.014518880983807,0,0,0,,,,1,0,Distressed but recoverable — solvent with a turnaround vector
AAMI,Financials,2636545024.0,WATCH,0,,0,0,0,0,0,10,3.5014243599238606,4,1,-0.12767008003268043,distress,3.928096175590655,-1.6399430256030456,0.8018006343685933,0.15794812346036807,1,-1.3920645595158037,0.6787733424704472,0,1,1,1074.0,,,1,0,Watch — stress signals but neither terminal nor clearly recovering
AAOI,Information Technology,14202970112.0,AVOID,1,cash_burn,0,0,0,0,0,54,56.36531481583781,4,1,2.385909694413484,grey,19.68081418256068,-0.7253874073664873,0.1584337688834778,0.15879169083421016,6,,2.5879362414150955,0,1,1,14.181668080812713,operating_cash_flow_negative; cash_runway_under_18mo; sustained_losses_2y,,0,0,"AVOID — bankruptcy / cash-burn — pre-profit, dependent on raising more capital"
AAON,Industrials,10863130624.0,CLEAR,0,,0,0,0,0,0,0,39.447642564395565,3,1,5.464069591930188,safe,10.447211528255753,-1.4020942974241775,0.1215215184762141,0.07482080856987906,5,1.8002617162374963,2.6233667316498166,0,1,0,,,,0,0,Clear — no material distress or manipulation signal
AAP,Consumer Discretionary,3427302400.0,WATCH,0,,0,0,0,0,0,18,15,3,0,3.0855417060041983,safe,1.7356788313301492,-2.866746187726411,0.25315228533102624,0.007956152758132957,4,0.6674364896073903,1.7456896551724137,0,1,1,814.6956521739131,,,0,0,Watch — stress signals but neither terminal nor clearly recovering
AAPL,Information Technology,4514011676672.0,CLEAR,0,,0,0,0,0,0,0,0,7,0,2.307830526564303,grey,11.752294471205888,-2.3720675494941412,0.043999827302797445,0.0014581184472695489,3,0.3037002238372896,0.8932929222186667,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
AAT,Financials,1835364736.0,CLEAR,0,,0,0,0,0,0,10,0,3,0,0.6148690559609118,distress,0.7298380979175318,-2.542916960283803,0.2704628786636597,-0.030912202983191438,1,6.811477129668485,1.6852397205416663,0,0,0,,,,1,0,Clear — no material distress or manipulation signal
ABAT,Materials,424248832.0,AVOID,1,cash_burn,0,0,0,0,0,100,100,2,1,-7.190261198584974,distress,12.619211123967942,8.37701145436724,0.9572293279680121,-0.2200844426890398,0,,1.7947778869899307,0,1,1,3.1012467758033755,operating_cash_flow_negative; cant_service_debt_ebitda_negative; cash_runway_under_18mo; ohlson_high_default_prob; altman_deep_distress; sustained_losses_2y,,0,0,"AVOID — bankruptcy / cash-burn — pre-profit, dependent on raising more capital"
ABBV,Health Care,401468325888.0,CLEAR,0,,0,0,0,0,0,48,15,4,0,-0.3542958215073007,distress,2.2884646519451426,-2.867998413408288,0.1505466992213408,-0.1099654058954894,4,2.2246954160563077,0.6713483794959458,1,0,0,,,,0,0,Clear — no material distress or manipulation signal
ABCB,Financials,5751490560.0,CLEAR,0,,0,0,0,0,0,0,0,4,0,1.2964230274894801,grey,0.5162323906771427,,0.35630736133946983,0.000817101008110595,1,-5.387201555570869,6.423884352168934,0,0,0,,,,1,0,Clear — no material distress or manipulation signal
ABCL,Health Care,1716209664.0,WATCH,0,,0,0,0,0,0,36,10.575993801008615,1,1,4.545712325715877,safe,2.7020055732707458,-1.3569602479596554,0.1130672056032756,-0.011125654691089577,0,,10.935543564464211,0,1,1,48.790220495830006,,,0,0,Watch — stress signals but neither terminal nor clearly recovering
ABEO,Health Care,311193504.0,WATCH,0,,0,0,0,0,0,46,0,4,1,-5.746940619276447,distress,-1.997451264923208,,0.12314685109552545,0.8980733696396662,3,,6.929523165370307,0,1,1,30.092602782800096,,,0,0,Watch — stress signals but neither terminal nor clearly recovering
ABG,Consumer Discretionary,3555818240.0,CLEAR,0,,0,0,0,0,0,0,0,4,0,1.9412217043997617,grey,2.487236127798872,-2.5650145244082894,0.20801058952942192,-0.02579798863139484,3,4.871680252432291,0.9501082159822357,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ABLV,Consumer Discretionary,52847216.0,WATCH,0,,0,0,0,0,0,0,0,2,0,2.7749427788616536,safe,4.706512279843247,-2.951307134473259,0.6875582058042032,-0.009145940426637113,3,,1.6240425055416987,0,0,0,,,,0,0,Watch — stress signals but neither terminal nor clearly recovering
ABM,Information Technology,2489986304.0,CLEAR,0,,0,0,0,0,0,0,0,4,0,2.5701854992401425,grey,2.791438654455708,-2.4762289954012835,0.21228256569802786,-0.013890630576750556,3,3.394614670380687,1.4847974266676878,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ABNB,Consumer Discretionary,79256641536.0,CLEAR,0,,0,0,0,0,0,28,0,4,0,0.04171834561170329,distress,3.8790501023981907,,0.09563333293153871,-0.0989181550721616,1,-3.543632075471698,0.8673162869074658,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ABR,Financials,1094790016.0,DISTRESSED-RECOVERABLE,0,,0,0,1,0,0,10,0,3,0,-1.9200451441132824,distress,-0.3668042672244733,-2.5020196157895125,0.6261490676101134,-0.015332872815452247,1,,0.16323873617474244,0,0,0,,,,1,0,Distressed but recoverable — solvent with a turnaround vector
ABSI,Industrials,997792384.0,AVOID,1,cash_burn,0,0,0,0,0,97,0,3,0,-1.8996283940872267,distress,17.135546366861266,,0.9869154043674485,-0.10354845838033984,1,,6.570305293213266,0,1,1,18.633349475383376,operating_cash_flow_negative; ohlson_high_default_prob; altman_deep_distress; sustained_losses_2y,,0,0,"AVOID — bankruptcy / cash-burn — pre-profit, dependent on raising more capital"
ABT,Health Care,158626922496.0,CLEAR,0,,0,0,0,0,0,0,0,5,0,4.846784658858115,safe,4.556948418615006,-2.498689300662802,0.014625177226173658,-0.03618693011830343,3,0.35723878592532904,1.5758971871968963,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ABTC,Financials,1549470080.0,WATCH,0,,0,0,0,0,0,10,0,2,0,0.534423264284435,distress,1.5957259381450604,,0.6716090207453221,-0.06252937851426531,2,-0.0639461928424434,0.07996845708550639,0,0,1,0.5761230027132951,,,1,0,Watch — stress signals but neither terminal nor clearly recovering
ABTS,Financials,5893279.0,DISTRESSED-RECOVERABLE,0,,0,0,1,0,0,28,0,4,0,-24.667419896559583,distress,-9.581581018388558,-2.538947546406337,0.5662386208374605,-0.3843795066842798,1,2.682100443082802,0.3265028842748386,0,1,0,,,,1,0,Distressed but recoverable — solvent with a turnaround vector
ABUS,Health Care,839535296.0,WATCH,0,,0,0,0,0,0,97,0,4,0,-39.67081078454527,distress,7.439041699465777,-1.890873225979649,0.833009858782616,0.05422290953275157,1,,15.726939726939728,0,0,1,27.692610439740648,,,0,0,Watch — stress signals but neither terminal nor clearly recovering
ABVX,Health Care,8091386368.0,WATCH,0,,0,0,0,0,0,36,15,3,0,2.2325952428139053,grey,29.89430405473748,-4.291026477038875,0.5721050254520125,-0.45663066272344255,3,,8.746989098871806,0,1,1,38.47961273709409,,,0,0,Watch — stress signals but neither terminal nor clearly recovering
ABX,Financials,840279936.0,WATCH,0,,0,0,0,0,0,10,6.655148060750698,2,1,0.8541682460755771,distress,1.4688685260799748,-1.513794077569972,0.24523573387371875,0.07092123321584193,0,3.293441588779976,0.4682161740901234,0,1,1,17.80917845529666,,,1,0,Watch — stress signals but neither terminal nor clearly recovering
ACA,Materials,6013813760.0,CLEAR,0,,0,0,0,0,0,0,0,7,0,3.16664017773521,safe,2.7754278158537593,-2.46088604900596,0.06406971564050233,-0.026806185421232843,2,2.315808107629669,2.6326433499881037,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ACAD,Health Care,3691845376.0,WATCH,0,,0,1,0,0,0,0,52.26274917213169,4,1,3.789528696881595,safe,6.462157852170771,-0.8894900331147324,0.006425054853267704,0.2043379406101344,5,-7.031645949678737,3.8327655766218958,0,0,0,,,,0,0,"Watch — forensic earnings-quality flag (high accruals, but cash-backed / one-time — investigate, not a fraud call)"
ACB,Materials,199847936.0,CLEAR,0,,0,0,0,0,0,28,0,6,0,-19.490760113020382,distress,-9.005913557231706,-2.8103124186392807,0.03373001880486685,-0.016518308181675764,2,-65.00254006173303,3.886968600885779,0,1,0,,,,0,0,Clear — no material distress or manipulation signal
ACCO,Communication Services,,CLEAR,0,,0,0,0,0,0,28,15,5,0,0.5470439310165143,distress,,-2.491568409183128,0.271239200291021,-0.012228321506672022,4,4.293496386881601,1.61250805931657,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ACCS,Industrials,23417404.0,CLEAR,0,,0,0,0,0,0,0,0.10772657736204949,6,1,2.683609724351,safe,1.7471816506156865,-1.775690936905518,0.13058697530348085,0.08060023750404836,2,-0.34183673469387754,0.8829943384357307,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ACDC,Energy,1253780736.0,DISTRESSED-RECOVERABLE,0,,0,0,1,0,0,46,0,4,0,-1.0100047315846499,distress,0.5929259818655204,-2.4558043056081407,0.5376678259915555,-0.19600086312306697,1,3.3189207886544447,0.8093404753933713,0,0,0,,,,0,0,Distressed but recoverable — solvent with a turnaround vector
ACEL,Communication Services,981598336.0,CLEAR,0,,0,0,0,0,0,0,15,5,0,2.805992990594305,safe,2.705030750180783,-2.1687624285367724,0.39607152537195833,-0.09257683483200739,1,1.6712490793060253,2.6087822833328262,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ACFN,Industrials,39981632.0,CLEAR,0,,0,0,0,0,0,28,0,4,0,-18.281311274013824,distress,-3.277873845654069,-2.747106718731307,0.19867685429567977,0.037944003343083996,2,-2.1169201520912546,1.8316649104320337,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ACGL,Financials,31860838400.0,CLEAR,0,,0,0,0,0,0,0,0,5,0,1.5622224717734499,grey,1.211756530978143,-2.4333187221392554,0.1365939491005021,-0.023616855481628004,0,0.3186490455212922,0.6236646934748589,0,0,0,,,,1,0,Clear — no material distress or manipulation signal
ACGLN,Financials,,CLEAR,0,,0,0,0,0,0,0,0,5,0,1.5622224717734499,grey,,-2.4333187221392554,0.1365939491005021,-0.023616855481628004,0,0.3186490455212922,0.6236646934748589,0,0,0,,,,1,0,Clear — no material distress or manipulation signal
ACH,Industrials,206776000.0,WATCH,0,,0,0,0,0,0,100,0,2,0,-2.5947317237362935,distress,0.39415874571332365,-5.030476597710779,0.9519662133768472,-0.28105336626750144,1,4.9623087438212785,0.5784874481957606,1,1,1,33.24361921603301,,,0,0,Watch — stress signals but neither terminal nor clearly recovering
ACHC,Health Care,2251352832.0,DISTRESSED-RECOVERABLE,0,,0,0,1,0,0,28,0,3,0,0.5846523485901771,distress,0.9107243424075,-3.583867653712015,0.44016619804340035,-0.21312823358161007,2,4.10025571105344,1.5501681283487625,0,1,0,,,,0,0,Distressed but recoverable — solvent with a turnaround vector
ACHR,Industrials,4226271488.0,WATCH,0,,0,0,0,0,0,36,0,2,0,8.983806477248184,safe,8.310135014467763,,0.256573598636003,-0.10689048484324075,2,,19.816091954022987,0,1,1,54.46153846153846,,,0,0,Watch — stress signals but neither terminal nor clearly recovering
ACI,Consumer Discretionary,8090590208.0,CLEAR,0,,0,0,0,0,0,28,0,3,0,0.15316741841021772,distress,3.4127229852764036,-2.786162996897656,0.6058275773792311,-0.08031523721263939,1,3.327374386672245,0.8583461145194274,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
ACIC,Financials,498210400.0,CLEAR,0,,0,0,0,0,0,10,0,5,0,0.6368374813529118,distress,0.9501321510602314,-2.0341761569914047,0.44158236733437095,0.03129265253551575,2,-0.9053176791223211,0.8463859210973865,0,0,0,,,,1,1,Clear — no material distress or manipulation signal
ACIU,Health Care,228990544.0,AVOID,1,cash_burn,0,0,0,0,0,100,95.01334079063201,1,1,-14.529132259944097,distress,-4.934384887818854,0.8205336316252806,0.9860294981069389,-0.00663661063193562,2,,0.33904301268309167,0,1,1,4.642372440983051,operating_cash_flow_negative; cash_runway_under_18mo; ohlson_high_default_prob; altman_deep_distress; sustained_losses_2y,,0,0,"AVOID — bankruptcy / cash-burn — pre-profit, dependent on raising more capital"
ACIW,Information Technology,4351115264.0,CLEAR,0,,0,0,0,0,0,0,0,7,0,3.606417097154613,safe,3.381079678134853,-2.5293495885460353,0.11886337866505302,-0.031376790316792275,2,1.45514475404229,0.9803370826324359,0,0,0,,,,0,0,Clear — no material distress or manipulation signal
