ticker,sector,market_cap,dcf_applicable,fair_value_equity,fv_per_share,price_to_fv,stars,moat,moat_trend,uncertainty,implied_g,base_g,roic_median,wacc,engine_tier,engine_composite,rec_mean
SSSS,Unknown,358204640.0,True,597291323.8397703,20.74713429178996,0.599715123429605,5,None,Negative,High,0.05325564663349602,0.13731930275999804,0.03773090828453237,0.08241091477049613,INSUFFICIENT_LIQUIDITY,88.4,1.4
DAN,Industrials,3828296448.0,True,1903216121.6222734,14.234974731654999,2.0114880304485947,1,None,Negative,High,0.10043137358533849,0.03,0.05930365036040966,0.06876605267242752,BUY,88.3,
INSW,Industrials,4013345792.0,True,9420589891.474506,189.94677672689787,0.42601852306849897,5,Narrow,Positive,High,-0.009183452004078718,0.15058229665118747,0.08177614810547204,0.08423688224373753,WATCH(earnings-quality),85.4,1.33333
EIX,Utilities,28216940544.0,True,166902495440.7377,432.3898845614966,0.16906242455804998,5,Narrow,Positive,Medium,-0.08568562419854592,0.07512261861763303,0.042376902462415496,0.052313429716599046,BUY,85.1,
NBR,Energy,1419371520.0,True,957173083.7799692,66.39657906353837,1.482878639247527,1,None,Positive,Very High,0.10969603038519823,0.08424955996821532,-0.04342209718915198,0.06597751702199402,WATCH(earnings-quality),84.9,2.875
EZPW,Consumer Discretionary,1966074496.0,True,4668177881.722629,55.98476765914669,0.42116529100096944,5,None,Positive,Medium,-0.04751585916982334,0.13062423976867665,0.06594582801390528,0.06842016603812073,BUY,83.9,1.83333
RILY,Financials,314496128.0,False,6597038984.153086,215.90519655088775,0.04767231613386841,5,Narrow,Negative,Very High,-0.1,0.03,0.1447723135720684,0.055463182986112955,INSUFFICIENT_LIQUIDITY,83.1,
RILYL,Financials,,False,11016457349.39255,360.5421151866088,,,Narrow,Negative,High,,0.03,0.1447723135720684,0.04345,INSUFFICIENT_LIQUIDITY,81.8,
ECPG,Financials,1746535936.0,False,14358031234.755966,610.0973584922226,0.12164174234223865,5,Narrow,Negative,High,-0.07850966175440371,0.09561108729441994,0.0712866547236526,0.057594688146787254,BUY,81.7,1.75
CYRX,Health Care,791316288.0,True,360233194.68582284,7.194352228667109,2.1966778733152172,1,None,Negative,Very High,0.2789843770793845,0.03,-0.2944372414119078,0.09725143649218121,INSUFFICIENT_LIQUIDITY,81.5,1.33333
FOR,Real Estate,1437426048.0,False,2459439807.8870997,48.167781761041915,0.584452623475624,5,None,Positive,High,-0.058946717207500055,0.06515872571560286,0.07302075245138596,0.07331982924203737,BUY,81.4,
CSTM,Materials,4614138368.0,True,4500396034.198645,31.706054338539886,1.0252738498872151,3,Narrow,Stable,Medium,0.04905856256327723,0.044607595959328346,0.11766555661568226,0.06564777280405194,WATCH(risk-flagged),81.0,1.4
ALTO,Materials,420749216.0,True,173643207.2186622,2.2949553575547124,2.423067522993668,1,None,Negative,Medium,0.1540657845966743,0.03,-0.057832744366044596,0.0699793140247897,INSUFFICIENT_LIQUIDITY,80.8,
SWX,Utilities,6421098496.0,True,1815952071.8501425,25.104055626444868,3.5359405105102835,1,Narrow,Positive,Medium,0.12396424769383813,0.03,0.052940952679311544,0.05733686353236254,BUY,80.5,1.11111
SRTA,Health Care,500988832.0,True,103428257.49985953,1.2599013647357684,4.843829376132344,1,None,Positive,Very High,0.4,0.21753895817589733,-0.5816570248759311,0.11,INSUFFICIENT_LIQUIDITY,80.5,1.0
VISN,Information Technology,2650443264.0,True,-6015543133.910487,-26.154535364828206,,,None,Negative,Extreme,0.4,0.03,0.002336312065387597,0.0679335854096988,BUY,80.5,
UAN,Materials,1253664768.0,True,1264571253.753814,119.63777235135422,0.9913753489797916,3,None,Stable,High,0.0039907312507933,0.03,0.07379994549177149,0.07546681342154923,BUY,79.7,
SCHL,Communication Services,796482944.0,True,2754118111.266726,99.78688808937413,0.2891970902561134,5,None,Positive,Medium,-0.1,0.03,0.035553039313877405,0.06691352668264341,INSUFFICIENT_LIQUIDITY,79.7,
ABUS,Health Care,839535296.0,True,124285098.62574026,0.6486709712637201,6.754915153007142,1,None,Positive,Very High,0.4,0.03,-2.6885411980241667,0.10972826658429956,INSUFFICIENT_LIQUIDITY,79.6,
SND,Materials,234271952.0,True,495738600.45303154,12.522446207260572,0.4725715362610662,5,None,Positive,Very High,0.014872658219279633,0.18486158120084437,0.008353701264993125,0.10649535648426822,INSUFFICIENT_LIQUIDITY,79.3,
CARE,Financials,634216192.0,False,2237154639.9523463,99.6207876423699,0.2834923347156321,5,Narrow,Stable,Medium,-0.1,0.10661800571860591,,0.06807055149702247,INSUFFICIENT_LIQUIDITY,79.0,2.25
CHRS,Health Care,223662368.0,True,234377745.92623177,2.0007753905216554,0.9542815898161068,3,None,Negative,Very High,0.003673005372943128,0.03,-1.2508010985589624,0.1005423182980015,INSUFFICIENT_LIQUIDITY,78.9,1.42857
