ticker,group,status,bucket,my_fv,ms_fv,ratio,date,note
NKE,portfolio,done,TURNAROUND,96,97,0.99,2026-06-09,portfolio hand-verdict
AMZN,portfolio,done,COMPOUNDER,293,280,1.05,2026-06-09,portfolio hand-verdict
MSFT,portfolio,done,COMPOUNDER,673,600,1.12,2026-06-09,portfolio hand-verdict
SBUX,portfolio,done,TURNAROUND,92,83,1.11,2026-06-09,portfolio hand-verdict
META,portfolio,done,COMPOUNDER,810,850,0.95,2026-06-09,portfolio hand-verdict
UNH,portfolio,done,FINANCIAL,538,427,1.26,2026-06-09,contrarian-constructive; High uncertainty override
CAVA,portfolio,done,HYPERGROWTH,65,59,1.1,2026-06-09,portfolio hand-verdict
PANW,portfolio,done,HYPERGROWTH,142,285,0.50,2026-06-09,BELOW MS - priced for perfection; software-reinvest fix
CMG,portfolio,done,COMPOUNDER,47,36,1.31,2026-06-09,portfolio hand-verdict
CRWD,portfolio,done,HYPERGROWTH,336,530,0.63,2026-06-09,portfolio hand-verdict
AXP,portfolio,done,FINANCIAL,320,310,1.03,2026-06-09,card issuer balance-sheet financial - DCF invalid (model $2238 off bogus 94% gross); normalized fwd PE 18-19x x $17.6 EPS = $320; Wide moat 34% ROE; Medium uncert (credit cycle)
AMD,portfolio,done,CYCLICAL,250,450,0.55,2026-06-09,documented optionality divergence - 22% growth/30% margin/VeryHigh unc prints $193-280; MS prices aggressive AI datacenter ramp; agree Narrow moat + VeryHigh unc; I read overvalued at 164x trailing
TSLA,portfolio,done,OPTIONALITY,35,400,0.09,2026-06-09,OUT-OF-MODEL auto-flagged (market implies >=40% growth); fundamentals anchor ~$35 (4.2% op margin EV/energy); MS $400 is ~90% robotaxi/FSD/Optimus optionality; agree Narrow moat; no fabricated FV per bucket rule
GOOG,portfolio,done,COMPOUNDER,390,433,0.9,2026-06-09,portfolio hand-verdict
TSM,portfolio,done,ADR,420,428,0.98,2026-06-09,no US-GAAP fundamentals (TWD foreign filer) so DCF cant run; normalized fwd PE ~28-30x x $13-14 EPS = $420; Wide moat foundry monopoly capped by Taiwan geopolitical tail (High uncert); in line with MS
NVDA,portfolio,done,HYPERGROWTH,287,280,1.03,2026-06-09,decelerate +85% YoY to 21% fwd / 40% mature margin (from 66% peak); model lands $287 vs MS $280 matched; Wide moat (CUDA lock-in); risk=hyperscaler in-house silicon
PLTR,portfolio,done,HYPERGROWTH,52,153,0.34,2026-06-09,deliberately below MS like PANW/CRWD - 97x fwd/152x trailing prices perfection; max defensible 28% growth/40% margin = $52 on tiny $5B base; agree Narrow moat + Very High unc; wont underwrite 35% perpetual growth
CAT,portfolio,done,CYCLICAL,500,680,0.74,2026-06-09,mid-cycle 6% growth/19.5% margin (not peak); agree MS Wide moat (model says Narrow - cyclical volatility blind spot) + agree OVERVALUED at $880; gap is mid-cycle margin + Wide-fade not in overrides
LRCX,portfolio,done,CYCLICAL,140,220,0.64,2026-06-09,Wide moat (agree) etch leader 59% ROIC; mid-cycle 11% growth/32% margin + High unc (China/cyclical) = $140; below MS (MS extends WFE up-cycle); both read OVERVALUED at $315 (61x trailing peak)
